id,name,image,href,area,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30
1,函館高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/8c13b00ba054f65966c5f52c0766eaa0-scaled.jpg,https://www.hakodate-ct.ac.jp/,hokkaido,○,,○,○,○,○,,○,,,,,,,○,,○,,○,○,,,○,,,,,,○,○,,,,,,,○,○,○,○
2,苫小牧高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/9177b4f4e0f2935c2fc07ab412887112-scaled.jpg,https://www.tomakomai-ct.ac.jp/,hokkaido,○,,○,○,○,○,,○,,○,○,,,,,,,,○,,,,○,,○,,○,,,,○,,,,,,○,○,○,○
3,釧路高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/33bae60c8980aea602d3518fd0d0479e-scaled.jpg,https://www.kushiro-ct.ac.jp/,hokkaido,○,,○,○,○,,○,,,,,,,○,○,,,,○,○,,,○,,○,,○,,,,,,,,,,○,○,○,○
4,旭川高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/320e2abfd3285d93c2e4346f816feab1.jpg,https://www.asahikawa-nct.ac.jp/,hokkaido,○,,○,,○,○,,,,,○,,,,○,,,○,,○,,,,,,,○,○,,○,,,,,,,○,○,○,○
5,八戸高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/b1fc5bff35132aca76b09670b6967f7f-scaled.jpg,https://www.hachinohe-ct.ac.jp/,tohoku,○,,○,○,○,○,○,○,,,,,,,,,○,○,,○,,,○,,,,○,,,,,,,○,○,○,,○,○,○
6,一関高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/44e126ffe11313c2ae144bc541fe66fd-scaled.jpg,https://www.ichinoseki.ac.jp/,tohoku,○,,○,○,○,○,,,,,,○,,,,,,,○,,,○,○,,○,,,,,,,,,○,,,○,○,○,○
7,仙台高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/9b2d559167714d4f1022b48a0e2080d8-scaled.jpg,https://www.sendai-nct.ac.jp/,tohoku,○,○,○,○,○,,○,,,,,,,○,,,,,○,○,,,,,○,,,○,,○,,,,,○,,○,,○,○
8,秋田高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/ef5011136e58e2d1e7f7ee5056bd7e95-scaled.jpg,https://www.akita-nct.ac.jp/,tohoku,○,,○,○,○,○,○,○,,,,,,,,,○,,○,,,,○,,,,○,,,,,,,○,○,○,○,,○,○
9,鶴岡高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/5c88cd907e92347bac60904b0b891b72-scaled.jpg,https://www.tsuruoka-nct.ac.jp/,tohoku,○,○,○,○,○,○,,,,,○,,,,,,,,○,○,,,,,,,○,,,,,○,○,,○,○,,○,,○
10,福島高専,https://www.kosen-k.go.jp/wp/wp-content/uploads/2026/06/c59957342e5875778e1bf6fb0f2209ff-scaled.jpg,https://www.fukushima-nct.ac.jp/,tohoku,○,,○,○,○,○,,○,,○,,,○,,,,,○,,,,,,,○,,,,,,,,,○,,○,,○,,○
